name	CAS_num	aroma	flavor
(+)-Menthofuran	17957-94-7	fruity floral fatty fruity|citrusy	
(+/-)-1-Hepten-3-Ol	4938-52-7	fatty dairy	vegetal fruity sharp|chemical liquorlike
(+/-)-2,4,8-Trimethyl-7-Nonen-2-Ol	437770-28-0	fruity fruity|citrusy	fruity|berry fruity|citrusy
(+/-)-2,8-Epithio-Cis-P-Menthane	68398-18-5	earthy fruity|citrusy	vegetal fruity sharp|sulfurous fruity|citrusy
(+/-)-2-Hydroxypiperitone	490-03-9	vegetal fruity|berry vegetal|herbal	fruity
(+/-)-3-(Ethylthio)Butanol	117013-33-9	savory|cooked brown earthy|nutty	vegetal
(+/-)-3-(Methylthio)Heptanal	51755-70-5	savory|cooked brown	vegetal
(+/-)-3-Mercapto-1-Butyl Acetate	89534-38-3	fruity	fruity
(+/-)-4-Ethyloctanal	58475-04-0	floral	
(+/-)-4-Mercapto-4-Methyl-2-Pentanol		fruity floral	fruity floral fruity|citrusy
(+/-)-Cis- And Trans-2-Methyl-2-(4-Methyl-3-Pentenyl)Cyclopropanecarbaldehyde		sharp|sour fruity|citrusy	sharp|sour fruity|citrusy
(+/-)-Ethyl 2-Hydroxy-2-Methylbutyrate	"72332-34-4
77-70-3"	sweet brown earthy|nutty	sweet brown
(+/-)-Ethyl 2-Hydroxy-3-Methylvalerate	24323-38-4	fruity fruity|berry	fruity|berry
(+/-)-Ethyl 3-Hydroxy-2-Methylbutyrate	27372-03-8		fruity
(+/-)-Ethyl 3-Mercapto-2-Methylbutanoate			vegetal starchy
(+/-)-N,N-Dimethyl Menthyl Succinamide		fruity minty vegetal|herbal	fruity minty vegetal|herbal
(+/-)-Trans And Cis-2-Hexenal Propylene Glycol Acetal	94089-21-1	fruity	fruity sharp|sour
(+/-)-Trans And Cis-4,8-Dimethyl-3,7-Nonadien-2-Ol	67845-50-5	fatty	earthy|woody
(+/-)-Trans And Cis-4,8-Dimethyl-3,7-Nonadien-2-Yl Acetate	91418-25-6	sharp|spicy	sharp|bitter fruity|citrusy
(+/-)-Trans- And Cis-5-(2,2-Dimethylcyclopropyl)-3-Methyl-2-Pentenal	877-60-1	fruity	
(+/-)-[R-(E)]-5-Isopropyl-8-Methylnona-6,8-Dien-2-One	2278-53-7	fruity dairy	vegetal fruity
(+/–) 2-Methyl-1-Butanol	137-32-6	fruity savory|cooked fatty	
(+/–) Ethyl 3-Mercaptobutyrate	156472-94-5	savory|cooked sharp|sour	
(+/–) Heptan-3-Yl Acetate	5921-83-5	floral	fruity
(+/–) Heptan-3-Yl Butyrate	39026-94-3	sharp|bitter sharp|chemical	floral fruity sharp|sour sharp|spicy sharp|bitter sharp|chemical
(+/–)-(2,6,6-Trimethyl-2-Hydroxycyclohexylidene) Acetic Acid Γ-Lactone	15356-74-8		fruity
(+/–)-1-Acetoxy-1-Ethoxyethane	1608-72-6	fruity	
(+/–)-1-Phenylethylmercaptan	"75081-57-1
6263-65-6
33877-11-1"	savory|meaty	
(+/–)-2-(5-Methyl-5-Vinyltetrahydrofuran-2-Yl)Propionaldehyde	67920-63-2	floral	
(+/–)-3-[(2-Methyl-3-Furyl)Thio]-2-Butanone	61295-44-1	savory|meaty	
(+/–)-Cis- And Trans-3,5-Diethyl-1,2,4-Trithiolane	54644-28-9	sharp|sulfurous	vegetal
(+/–)-Dihydrofarnesol	51411-24-6	floral	
(+/–)-Dihydromintlactone	92015-65-1	dairy vegetal|herbal	
(+/–)-Ethyl 3-Acetoxy-2-Methylbutyrate	139564-43-5	fruity	
(+/–)-Methyl 5-Acetoxyhexanoate		fruity	
(+/–)3-Methyl-Gamma-Decalactone	67663-01-8	floral	
