common_name	SMILES_code	InChI_code	aroma	flavor
(+)-menthofuran	CC1CCC2=C(C1)OC=C2C	InChI=1S/C10H14O/c1-7-3-4-9-8(2)6-11-10(9)5-7/h6-7H,3-5H2,1-2H3/t7-/m1/s1	floral fatty fruity|citrusy fruity	
1-hepten-3-ol	CCCCC(C=C)O	InChI=1S/C7H14O/c1-3-5-6-7(8)4-2/h4,7-8H,2-3,5-6H2,1H3	dairy fatty	vegetal liquorlike sharp|chemical fruity
2,4,8-trimethyl-7-nonen-2-ol	CC(CCC=C(C)C)CC(C)(C)O	InChI=1S/C12H24O/c1-10(2)7-6-8-11(3)9-12(4,5)13/h7,11,13H,6,8-9H2,1-5H3	fruity|citrusy fruity	fruity|berry fruity|citrusy
4,7,7-trimethyl-6-thiabicyclo[3.2.1]octane	CC1CCC2CC1SC2(C)C	InChI=1S/C10H18S/c1-7-4-5-8-6-9(7)11-10(8,2)3/h7-9H,4-6H2,1-3H3	earthy  fruity|citrusy savory	vegetal sharp|bitter fruity|citrusy fruity sharp|sulfurous
diosphenol	CC1=C(C(=O)C(CC1)C(C)C)O	InChI=1S/C10H16O2/c1-6(2)8-5-4-7(3)9(11)10(8)12/h6,8,11H,4-5H2,1-3H3	vegetal|herbal fruity|berry vegetal	fruity
2-butanol	CCC(C)O	InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3	savory|cooked brown earthy|nutty	vegetal
3-sulfanylbutyl acetate	CC(CCOC(=O)C)S	InChI=1S/C6H12O2S/c1-5(9)3-4-8-6(2)7/h5,9H,3-4H2,1-2H3	fruity	fruity
4-ethyloctanal	CCCCC(CC)CCC=O	InChI=1S/C10H20O/c1-3-5-7-10(4-2)8-6-9-11/h9-10H,3-8H2,1-2H3	floral	
4-mercapto-4-methyl-2-pentanol	CC(CC(C)(C)S)O	InChI=1S/C6H14OS/c1-5(7)4-6(2,3)8/h5,7-8H,4H2,1-3H3	floral fruity	floral fruity|citrusy fruity
ethyl 2-hydroxy-2-methylbutanoate	CCC(C)(C(=O)OCC)O	InChI=1S/C7H14O3/c1-4-7(3,9)6(8)10-5-2/h9H,4-5H2,1-3H3	sweet brown earthy|nutty	sweet brown
ethyl 2-hydroxy-3-methylpentanoate	CCC(C)C(C(=O)OCC)O	InChI=1S/C8H16O3/c1-4-6(3)7(9)8(10)11-5-2/h6-7,9H,4-5H2,1-3H3	fruity|berry fruity	fruity|berry
ethyl 3-hydroxy-2-methylbutyrate	CCOC(=O)C(C)C(C)O	InChI=1S/C7H14O3/c1-4-10-7(9)5(2)6(3)8/h5-6,8H,4H2,1-3H3		fruity
ethyl 3-mercapto-2-methylbutanoate	CCOC(=O)C(C)C(C)S	InChI=1S/C7H14O2S/c1-4-9-7(8)5(2)6(3)10/h5-6,10H,4H2,1-3H3		starchy vegetal
