word_stem,Category_1,Subcategory_1,Category_2,Subcategory_2,Category_3,Subcategory_3
balsam,brown,,sharp,sour,,
balsami,brown,,sharp,sour,,
balsamic,brown,,sharp,sour,,
brown,brown,,,,,
brownish,brown,,,,,
butterscotch,brown,,sweet,,,
cacao,brown,chocolate,sharp,bitter,,
caramel,brown,,sweet,,,
caramellic,brown,,sweet,,,
chocol,brown,chocolate,sharp,bitter,,
cocoa,brown,chocolate,sharp,bitter,,
coconut,brown,,,,,
coffe,brown,,sharp,bitter,,
crust,brown,,,,,
eggnog,brown,,,,,
honey,brown,,floral,,sweet,
maple,brown,,sweet,,,
molass,brown,,sweet,,,
vallininc,brown,vanilla,,,,
vanil,brown,vanilla,,,,
vanilla,brown,vanilla,,,,
vanillic,brown,vanilla,,,,
vanillyl,brown,vanilla,,,,
wort,brown,,starchy,,,
butt,dairy,,fatty,,,
butter,dairy,,fatty,,,
butterfat,dairy,,fatty,,,
butteri,dairy,,fatty,,,
cheesi,dairy,,,,,
cream,dairy,,,,,
dairi,dairy,,,,,
milk,dairy,,,,,
milki,dairy,,,,,
yogurt,dairy,,sharp,sour,,
almond,earthy,nutty,,,,
ash,earthy,dry,,,,
beech,earthy,woody,,,,
beechwood,earthy,woody,,,,
birch,earthy,woody,,,,
cedar,earthy,woody,,,,
cedarlik,earthy,woody,,,,
cedarwood,earthy,woody,,,,
chestnut,earthy,nutty,,,,
conif,earthy,woody,,,,
conifer,earthy,woody,,,,
dirti,earthy,,,,,
dust,earthy,dry,,,,
earthi,earthy,,,,,
earthy,earthy,,,,,
filbert,earthy,nutty,,,,
forest,earthy,woody,,,,
fungus,earthy,fungal,,,,
hardwood,earthy,woody,,,,
hazelnut,earthy,nutty,,,,
junip,earthy,woody,,,,
juniperberri,earthy,woody,,,,
leather,earthy,dry,,,,
leatheri,earthy,dry,,,,
moss,earthy,,vegetal,,,
mushroom,earthy,fungal,,,,
musk,earthy,woody,,,,
musky,earthy,woody,,,,
nut,earthy,nutty,,,,
nutti,earthy,nutty,,,,
oak,earthy,woody,,,,
oakmoss,earthy,woody,vegetal,,,
paper,earthy,dry,,,,
peanut,earthy,nutty,,,,
pine,earthy,woody,,,,
piney,earthy,woody,,,,
porcin,earthy,fungal,,,,
rooti,earthy,woody,,,,
sandalwood,earthy,woody,,,,
sawdust,earthy,dry,,,,
sesam,earthy,nutty,,,,
spruce,earthy,woody,,,,
truffl,earthy,fungal,,,,
twig,earthy,woody,,,,
walnut,earthy,nutty,,,,
wood,earthy,woody,,,,
woodi,earthy,woody,,,,
